Año,Mes,Asset Code,N° Noches,N° Pasajeros,Mascota,Canal de Venta,Precio x Noche,Precio [$CLP] IVA Inc,Tax Booking,Clean Up,IVA 19%,Precio [$CLP] Neto,Medio de Pago,Boleta/Factura,Pago en USD
2023,Marzo,C2,2,4,0,Booking,79252.0,158504.0,22143.94117647059,0,25307.361344537814,133196.6386554622,TEF,BOL,1
2023,Marzo,C1,4,6,0,Venta Directa,70000.0,280000.0,0.0,0,44705.882352941175,235294.11764705883,TEF,BOL,0
2023,Abril,C2,1,6,0,Venta Directa,130000.0,130000.0,0.0,0,20756.302521008405,109243.6974789916,TEF,BOL,0
2023,Abril,C1,2,4,0,Venta Directa,60000.0,120000.0,0.0,0,19159.66386554622,100840.33613445378,TEF,BOL,0
2023,Abril,C1,3,4,0,Booking,80920.0,242760.0,33915.0,0,38760.0,204000.0,TEF,BOL,1
2023,Abril,C2,2,4,0,Airbnb,110000.0,220000.0,7853.999999999999,0,35126.05042016807,184873.94957983194,TEF,BOL,0
2023,Abril,C1,5,3,0,Venta Directa,50000.0,250000.0,0.0,0,39915.966386554624,210084.03361344538,TEF,BOL,0
2023,Abril,C2,1,5,0,Booking,76160.0,76160.0,10640.000000000002,0,12160.0,64000.0,TEF,BOL,1
2023,Abril,C2,1,2,0,Venta Directa,50000.0,50000.0,0.0,0,7983.193277310925,42016.80672268908,TEF,BOL,0
2023,Abril,C2,2,4,0,Venta Directa,80000.0,160000.0,0.0,0,25546.21848739496,134453.78151260506,TEF,BOL,0
2023,Abril,C1,1,6,0,Booking,72824.0,72824.0,10173.94117647059,0,11627.361344537816,61196.638655462186,TEF,BOL,1
2023,Abril,C2,1,5,0,Booking,92344.0,92344.0,12901.000000000004,0,14744.0,77600.0,TEF,BOL,1
2023,Abril,C2,1,5,0,Venta Directa,90000.0,90000.0,0.0,0,14369.747899159665,75630.25210084034,TEF,BOL,0
2023,Abril,C1,1,6,0,Venta Directa,90000.0,90000.0,0.0,0,14369.747899159665,75630.25210084034,TEF,BOL,0
2023,Abril,C1,2,6,0,Venta Directa,70000.0,140000.0,0.0,0,22352.941176470587,117647.05882352941,TEF,BOL,0
2023,Abril,C2,3,5,0,Booking,90536.0,271608.0,37945.23529411765,0,43365.983193277316,228242.0168067227,TEF,BOL,1
2023,Abril,C1,2,4,0,Booking,72828.0,145656.0,20349.0,0,23256.0,122400.0,TEF,BOL,1
2023,Mayo,C1,3,3,0,Booking,72829.33333333333,218488.0,30524.058823529413,0,34884.638655462186,183603.3613445378,TEF,BOL,1
2023,Mayo,C2,1,4,0,Booking,78952.0,78952.0,11030.058823529413,0,12605.781512605043,66346.21848739496,TEF,BOL,1
2023,Mayo,C2,2,6,0,Booking,69192.0,138384.0,19333.058823529413,0,22094.9243697479,116289.0756302521,TEF,BOL,1
2023,Mayo,C2,1,3,0,Booking,69192.0,69192.0,9666.529411764706,0,11047.46218487395,58144.53781512605,TEF,BOL,1
2023,Mayo,C1,3,8,1,Venta Directa,110000.0,330000.0,0.0,0,52689.075630252104,277310.9243697479,TEF,BOL,0
2023,Mayo,C2,1,2,0,Venta Directa,60000.0,60000.0,0.0,0,9579.83193277311,50420.16806722689,TEF,BOL,0
2023,Mayo,C1,1,7,0,Booking,63400.0,63400.0,8857.352941176472,0,10122.689075630253,53277.31092436975,TEF,BOL,1
2023,Mayo,C1,2,6,0,Booking,70448.0,140896.0,19684.000000000004,0,22496.0,118400.0,TEF,BOL,1
2023,Mayo,C1,1,4,0,Venta Directa,60000.0,60000.0,0.0,0,9579.83193277311,50420.16806722689,TEF,BOL,0
2023,Mayo,C2,2,6,0,Venta Directa,95000.0,190000.0,0.0,0,30336.134453781517,159663.8655462185,TEF,BOL,0
2023,Mayo,C1,2,5,0,Venta Directa,80000.0,160000.0,0.0,0,25546.21848739496,134453.78151260506,TEF,FAC,0
2023,Mayo,C1,1,5,0,Booking,62544.00000000001,62544.00000000001,8737.764705882357,0,9986.01680672269,52557.983193277316,TEF,BOL,1
2023,Mayo,C2,1,6,0,Booking,69192.0,69192.0,9666.529411764706,0,11047.46218487395,58144.53781512605,TEF,BOL,1
2023,Junio,C2,2,5,0,Booking,115668.0,231336.0,32319.00000000001,0,36936.0,194400.0,TEF,BOL,1
2023,Junio,C2,2,8,1,Venta Directa,250000.0,500000.0,0.0,0,79831.93277310925,420168.06722689077,TEF,BOL,0
2023,Junio,C2,1,4,0,Booking,116528.0,116528.0,16279.64705882353,0,18605.31092436975,97922.68907563026,TEF,BOL,1
2023,Junio,C1,1,2,0,Booking,92344.0,92344.0,12901.000000000004,0,14744.0,77600.0,TEF,FAC,1
2023,Junio,C2,1,6,1,Venta Directa,115000.0,115000.0,0.0,0,18361.344537815126,96638.65546218488,TEF,BOL,0
2023,Junio,C2,2,4,0,Booking,108528.0,217056.0,30324.0,0,34656.0,182400.0,TEF,BOL,1
2023,Junio,C2,1,2,0,Booking,83968.0,83968.0,11730.823529411766,0,13406.655462184874,70561.34453781512,TEF,FAC,1
2023,Junio,C2,4,6,0,Booking,171360.0,685440.0,95760.00000000001,0,109440.0,576000.0,TEF,FAC,1
2023,Junio,C1,1,4,0,Venta Directa,80000.0,80000.0,0.0,0,12773.10924369748,67226.89075630253,TEF,BOL,0
2023,Junio,C1,3,2,0,Booking,214200.0,642600.0,89775.00000000001,0,102600.0,540000.0,TEF,BOL,1
2023,Junio,C2,1,1,0,Airbnb,123000.0,123000.0,4391.099999999999,0,19638.655462184877,103361.34453781514,TEF,BOL,0
2023,Julio,C2,3,6,0,Venta Directa,180000.0,540000.0,0.0,0,86218.48739495799,453781.512605042,Transbank,BOL,0
2023,Julio,C1,4,4,0,Booking,201348.0,805392.0,112518.00000000001,0,128592.0,676800.0,Transbank,BOL,1
2023,Julio,C2,3,3,0,Booking,247520.0,742560.0,103740.00000000003,0,118560.0,624000.0,Transbank,BOL,1
2023,Julio,C1,5,4,0,Booking,190400.0,952000.0,133000.0,0,152000.0,800000.0,Transbank,BOL,1
2023,Julio,C2,2,4,0,Booking,231336.0,462672.0,64638.00000000002,0,73872.0,388800.0,Transbank,BOL,1
2023,Julio,C2,2,8,0,Venta Directa,180000.0,360000.0,0.0,0,57478.99159663866,302521.00840336137,Transbank,BOL,0
2023,Julio,C2,2,6,0,Booking,257040.0,514080.0,71820.00000000001,0,82080.0,432000.0,Transbank,BOL,1
2023,Julio,C1,1,6,0,Booking,208056.0,208056.0,29066.64705882353,0,33219.02521008404,174836.97478991598,Transbank,BOL,1
2023,Julio,C1,4,6,0,Venta Directa,180000.0,720000.0,0.0,0,114957.98319327732,605042.0168067227,Transbank,BOL,0
2023,Julio,C2,4,6,0,Venta Directa,180000.0,720000.0,0.0,0,114957.98319327732,605042.0168067227,Transbank,BOL,0
2023,Julio,C1,2,6,0,Venta Directa,180000.0,360000.0,0.0,0,57478.99159663866,302521.00840336137,Transbank,BOL,0
2023,Julio,C2,2,5,0,Venta Directa,180000.0,360000.0,0.0,0,57478.99159663866,302521.00840336137,Transbank,BOL,0
2023,Julio,C2,2,6,0,Venta Directa,165000.0,330000.0,0.0,0,52689.075630252104,277310.9243697479,Transbank,BOL,0
2023,Julio,C1,3,6,0,Booking,171360.0,514080.0,71820.00000000001,0,82080.0,432000.0,Transbank,BOL,1
2023,Julio,C2,2,7,0,Venta Directa,200000.0,400000.0,0.0,0,63865.5462184874,336134.4537815126,Transbank,BOL,0
2023,Julio,C1,2,6,0,Venta Directa,180000.0,360000.0,0.0,0,57478.99159663866,302521.00840336137,Transbank,BOL,0
2023,Agosto,C2,5,6,0,Booking,214200.0,1071000.0,149625.00000000003,0,171000.0,900000.0,Transbank,BOL,1
2023,Agosto,C1,5,6,0,Venta Directa,180000.0,900000.0,0.0,0,143697.47899159664,756302.5210084034,Transbank,BOL,0
2023,Agosto,C2,1,8,0,Venta Directa,210000.0,210000.0,0.0,0,33529.41176470588,176470.58823529413,TEF,BOL,0
2023,Agosto,C2,6,6,0,Airbnb,150000.0,900000.0,32129.999999999996,0,143697.47899159664,756302.5210084034,TEF,BOL,0
2023,Agosto,C1,5,6,0,Airbnb,180000.0,900000.0,32129.999999999996,0,143697.47899159664,756302.5210084034,TEF,BOL,0
2023,Agosto,C2,3,6,0,Booking,214200.0,642600.0,89775.00000000001,0,102600.0,540000.0,TEF,BOL,1
2023,Agosto,C1,2,6,0,Venta Directa,160000.0,320000.0,0.0,0,51092.43697478992,268907.5630252101,Transbank,BOL,0
2023,Agosto,C2,4,7,0,Venta Directa,170000.0,680000.0,0.0,0,108571.42857142858,571428.5714285715,Transbank,BOL,0
2023,Septiembre,C1,2,3,0,Venta Directa,100000.0,200000.0,0.0,0,31932.7731092437,168067.2268907563,Transbank,BOL,0
2023,Septiembre,C2,2,6,0,Booking,100000.0,200000.0,27941.17647058824,0,31932.7731092437,168067.2268907563,TEF,BOL,1
2023,Septiembre,C2,1,7,0,Venta Directa,140000.0,140000.0,0.0,0,22352.941176470587,117647.05882352941,Transbank,BOL,0
